"Date,Description,Type,Category,Amount"
"2025-01-03,Salary January,Income,Salary,210000"
"2025-01-05,Return on Investment January,Income,Investment,50000"
"2025-01-10,Rent January,Expense,Rent,50000"
"2025-01-12,Food Staples January,Expense,Food,34500"
"2025-01-15,Subscriptions January,Expense,Subscriptions,13500"
"2025-01-18,Electricity January,Expense,Utilities,7000"
"2025-01-20,Family Support January,Expense,Family,20000"
"2025-01-22,Weekly Food Extras January,Expense,Food Extras,16800"
"2025-01-25,Transport January,Expense,Transport,8000"
"2025-01-27,Miscellaneous January,Expense,Miscellaneous,60000"
"2025-01-28,Hair Cut January,Expense,Personal,1000"
"2025-02-07,Salary February,Income,Salary,210000"
"2025-02-05,Return on Investment February,Income,Investment,50000"
"2025-02-10,Rent February,Expense,Rent,50000"
"2025-02-12,Food Staples February,Expense,Food,34500"
"2025-02-14,Valentine Gift,Expense,Gifts,22000"
"2025-02-15,Subscriptions February,Expense,Subscriptions,13500"
"2025-02-18,Electricity February,Expense,Utilities,7000"
"2025-02-20,Family Support February,Expense,Family,20000"
"2025-02-22,Weekly Food Extras February,Expense,Food Extras,16800"
"2025-02-25,Transport February,Expense,Transport,8000"
"2025-02-26,Cooking Gas February,Expense,Utilities,12000"
"2025-02-27,Miscellaneous February,Expense,Miscellaneous,60000"
"2025-02-18,Crypto Asset Sale,Income,One-Time,500000"
"2025-03-07,Salary March,Income,Salary,210000"
"2025-03-05,Return on Investment March,Income,Investment,50000"
"2025-03-10,Rent March,Expense,Rent,50000"
"2025-03-12,Food Staples March,Expense,Food,34500"
"2025-03-15,Subscriptions March,Expense,Subscriptions,13500"
"2025-03-18,Electricity March,Expense,Utilities,7000"
"2025-03-20,Family Support March,Expense,Family,20000"
"2025-03-22,Weekly Food Extras March,Expense,Food Extras,16800"
"2025-03-25,Transport March,Expense,Transport,8000"
"2025-03-26,Cooking Oil March,Expense,Food,12000"
"2025-03-27,Miscellaneous March,Expense,Miscellaneous,60000"
"2025-04-04,Salary April,Income,Salary,210000"
"2025-04-05,Return on Investment April,Income,Investment,50000"
"2025-04-10,Rent April,Expense,Rent,50000"
"2025-04-12,Food Staples April,Expense,Food,34500"
"2025-04-15,Subscriptions April,Expense,Subscriptions,13500"
"2025-04-18,Electricity April,Expense,Utilities,7000"
"2025-04-20,Family Support April,Expense,Family,20000"
"2025-04-22,Weekly Food Extras April,Expense,Food Extras,16800"
"2025-04-25,Transport April,Expense,Transport,8000"
"2025-04-27,Miscellaneous April,Expense,Miscellaneous,60000"
"2025-05-02,Salary May,Income,Salary,210000"
"2025-05-05,Return on Investment May,Income,Investment,50000"
"2025-05-10,Rent May,Expense,Rent,50000"
"2025-05-12,Food Staples May,Expense,Food,34500"
"2025-05-15,Subscriptions May,Expense,Subscriptions,13500"
"2025-05-18,Electricity May,Expense,Utilities,7000"
"2025-05-20,Family Support May,Expense,Family,20000"
"2025-05-22,Weekly Food Extras May,Expense,Food Extras,16800"
"2025-05-25,Transport May,Expense,Transport,8000"
"2025-05-26,Cooking Gas May,Expense,Utilities,12000"
"2025-05-27,Miscellaneous May,Expense,Miscellaneous,60000"
"2025-06-06,Salary June,Income,Salary,210000"
"2025-06-05,Return on Investment June,Income,Investment,50000"
"2025-06-10,Rent June,Expense,Rent,50000"
"2025-06-12,Food Staples June,Expense,Food,34500"
"2025-06-15,Subscriptions June,Expense,Subscriptions,13500"
"2025-06-18,Electricity June,Expense,Utilities,7000"
"2025-06-20,Family Support June,Expense,Family,20000"
"2025-06-22,Weekly Food Extras June,Expense,Food Extras,16800"
"2025-06-25,Transport June,Expense,Transport,8000"
"2025-06-26,Cooking Oil June,Expense,Food,12000"
"2025-06-27,Miscellaneous June,Expense,Miscellaneous,60000"
"2025-07-04,Salary July,Income,Salary,210000"
"2025-07-05,Return on Investment July,Income,Investment,50000"
"2025-07-10,Rent July,Expense,Rent,50000"
"2025-07-12,Food Staples July,Expense,Food,34500"
"2025-07-15,Subscriptions July,Expense,Subscriptions,13500"
"2025-07-18,Electricity July,Expense,Utilities,7000"
"2025-07-20,Family Support July,Expense,Family,20000"
"2025-07-22,Weekly Food Extras July,Expense,Food Extras,16800"
"2025-07-25,Transport July,Expense,Transport,8000"
"2025-07-27,Miscellaneous July,Expense,Miscellaneous,60000"
"2025-07-28,Hair Cut July,Expense,Personal,1000"

"2025-08-01,Salary August,Income,Salary,210000"
"2025-08-05,Return on Investment August,Income,Investment,50000"
"2025-08-10,Rent August,Expense,Rent,50000"
"2025-08-12,Food Staples August,Expense,Food,34500"
"2025-08-15,Subscriptions August,Expense,Subscriptions,13500"
"2025-08-18,Electricity August,Expense,Utilities,7000"
"2025-08-20,Family Support August,Expense,Family,20000"
"2025-08-22,Weekly Food Extras August,Expense,Food Extras,16800"
"2025-08-25,Transport August,Expense,Transport,8000"
"2025-08-26,Cooking Gas August,Expense,Utilities,12000"
"2025-08-27,Miscellaneous August,Expense,Miscellaneous,60000"

"2025-09-05,Salary September,Income,Salary,210000"
"2025-09-05,Return on Investment September,Income,Investment,50000"
"2025-09-10,Rent September,Expense,Rent,50000"
"2025-09-12,Food Staples September,Expense,Food,34500"
"2025-09-15,Subscriptions September,Expense,Subscriptions,13500"
"2025-09-18,Electricity September,Expense,Utilities,7000"
"2025-09-20,Family Support September,Expense,Family,20000"
"2025-09-22,Weekly Food Extras September,Expense,Food Extras,16800"
"2025-09-25,Transport September,Expense,Transport,8000"
"2025-09-26,Cooking Oil September,Expense,Food,12000"
"2025-09-27,Miscellaneous September,Expense,Miscellaneous,60000"
"2025-09-28,Hair Cut September,Expense,Personal,1000"

"2025-10-03,Salary October,Income,Salary,210000"
"2025-10-05,Return on Investment October,Income,Investment,50000"
"2025-10-10,Rent October,Expense,Rent,50000"
"2025-10-12,Food Staples October,Expense,Food,34500"
"2025-10-15,Subscriptions October,Expense,Subscriptions,13500"
"2025-10-18,Electricity October,Expense,Utilities,7000"
"2025-10-20,Family Support October,Expense,Family,20000"
"2025-10-22,Weekly Food Extras October,Expense,Food Extras,16800"
"2025-10-25,Transport October,Expense,Transport,8000"
"2025-10-27,Miscellaneous October,Expense,Miscellaneous,60000"
"2025-10-30,Entertainment Cinema,Expense,Entertainment,15000"

"2025-11-07,Salary November,Income,Salary,210000"
"2025-11-05,Return on Investment November,Income,Investment,50000"
"2025-11-10,Rent November,Expense,Rent,50000"
"2025-11-12,Food Staples November,Expense,Food,34500"
"2025-11-15,Subscriptions November,Expense,Subscriptions,13500"
"2025-11-18,Electricity November,Expense,Utilities,7000"
"2025-11-20,Family Support November,Expense,Family,20000"
"2025-11-22,Weekly Food Extras November,Expense,Food Extras,16800"
"2025-11-25,Transport November,Expense,Transport,8000"
"2025-11-26,Cooking Gas November,Expense,Utilities,12000"
"2025-11-27,Miscellaneous November,Expense,Miscellaneous,60000"
"2025-11-29,Otaku Outing,Expense,Entertainment,30000"

"2025-12-05,Salary December,Income,Salary,210000"
"2025-12-05,Return on Investment December,Income,Investment,50000"
"2025-12-10,Rent December,Expense,Rent,50000"
"2025-12-12,Food Staples December,Expense,Food,34500"
"2025-12-15,Subscriptions December,Expense,Subscriptions,13500"
"2025-12-18,Electricity December,Expense,Utilities,7000"
"2025-12-20,Family Support December,Expense,Family,20000"
"2025-12-22,Weekly Food Extras December,Expense,Food Extras,16800"
"2025-12-25,Transport December,Expense,Transport,8000"
"2025-12-26,Cooking Oil December,Expense,Food,12000"
"2025-12-27,Miscellaneous December,Expense,Miscellaneous,60000"
"2025-12-28,Otaku Outing,Expense,Entertainment,30000"
"2025-12-30,Otaku Outing,Expense,Entertainment,30000"
